field_id,lai_in_situ,lai_est_s2,lai_est_ps,error_s2,error_ps
2,0.3315863111,1.1459001,1.009635090827942,0.8143138191719117,0.678048779727942
3,2.77,2.2457385,2.0256459712982178,0.5242614936828613,0.7443540287017822
4,2.77,2.2457385,2.0256459712982178,0.5242614936828613,0.7443540287017822
8,0.4561789692,1.0555785,1.054129958152771,0.5993995010301025,0.597950988952771
9,2.8,2.4541774,1.993058443069458,0.3458226203918455,0.8069415569305418
10,2.8,2.4541774,1.993058443069458,0.3458226203918455,0.8069415569305418
14,0.8701463241,1.0580304,1.0894150733947754,0.18788404279758297,0.21926874929477536
15,2.99,2.6083136,2.092398166656494,0.38168643951416037,0.8976018333435061
16,2.99,2.6083136,2.092398166656494,0.38168643951416037,0.8976018333435061
19,0.5219298907,1.0984821,1.1083930730819702,0.5765522412580079,0.5864631823819703
20,2.85,2.197356,2.1259613037109375,0.6526440143585206,0.7240386962890626
21,2.85,2.197356,2.1259613037109375,0.6526440143585206,0.7240386962890626
24,0.06804567942,0.78049946,0.7358454465866089,0.7124537788929883,0.6677997671666089
25,0.3283328475,0.8795196,0.8911156058311462,0.5511867342947387,0.5627827583311462
27,4.2,4.6925445,4.144343376159668,0.4925444602966307,0.05565662384033221
32,4.61,4.020858,5.081897258758545,0.5891421890258792,0.4718972587585446
33,0.1230504723,0.805315,0.759898841381073,0.6822645454001953,0.636848369081073
34,0.1597654569,0.9107971,0.8488800525665283,0.751031662240625,0.6891145956665283
36,3.61,4.145547,3.9247496128082275,0.5355469131469728,0.31474961280822766
41,4.74,3.9437177,4.95757532119751,0.7962822818756106,0.21757532119750955
42,0.2091011907,0.8043204,0.7133727073669434,0.5952192042928284,0.5042715166669434
44,0.09942144474,0.9120585,0.795417070388794,0.8126370278933618,0.6959956256487939
47,3.83,4.877141,3.9711852073669434,1.047140998840332,0.1411852073669433
52,4.7,4.2513943,4.870267868041992,0.44860572814941424,0.170267868041992
53,0.1513213665,0.9103481,0.6729114651679993,0.759026750851532,0.5215900986679993
54,0.2290921907,1.0694925,0.8026041984558105,0.8404002685971802,0.5735120077558106
58,3.26,4.6224766,3.6151323318481445,1.3624765777587893,0.35513233184814474
63,5.72,4.368501,5.171987533569336,1.3514988136291501,0.5480124664306638
64,0.3236896082,0.7158385,0.7217223644256592,0.3921488837166565,0.3980327562256592
66,4.41,4.7679234,3.3272485733032227,0.3579233551025389,1.0827514266967775
72,5.66,3.0412107,3.590418815612793,2.618789348602295,2.069581184387207
73,0.4048672885,0.7901996,0.7521645426750183,0.38533228930838015,0.34729725417501833
76,6.25,5.4265924,4.225272178649902,0.8234076499938965,2.0247278213500977
82,6.51,3.5148144,3.1958577632904053,2.995185623168945,3.3141422367095945
83,0.3458428499,0.76439077,0.7273118495941162,0.41854791672063596,0.3814689996941162
85,4.77,5.190771,4.112482070922852,0.42077110290527386,0.657517929077148
91,5.22,3.8362734,3.9543254375457764,1.3837265682220456,1.2656745624542234
92,0.2518860407,0.8216183,0.7496446371078491,0.5697322778577393,0.49775859640784914
95,4.59,4.7245626,3.804750442504883,0.13456264495849624,0.785249557495117
100,6.19,5.6246195,5.132631301879883,0.5653805160522465,1.0573686981201176
101,6.37,4.2576103,5.222890853881836,2.1123896789550782,1.1471091461181642
102,0.1336954371,0.7454754,0.7321183681488037,0.6117799743151001,0.5984229310488037
105,5.22,4.5174465,4.091110706329346,0.7025534820556638,1.128889293670654
111,5.68,3.6379743,5.118383407592773,2.042025737762451,0.5616165924072263
112,0.1137664944,0.82062185,0.7609269618988037,0.7068553537063843,0.6471604674988037
114,3.61,4.7022276,3.670928478240967,1.0922275924682618,0.06092847824096692
120,5.44,4.2327623,5.075462341308594,1.2072376632690434,0.36453765869140664
121,0.301057523,0.8635825,0.7421675324440002,0.5625249688746948,0.44111000944400025
123,3.98,4.634454,3.816956043243408,0.6544537734985352,0.16304395675659178
129,5.06,4.2219057,5.163614273071289,0.8380942916870113,0.10361427307128945
130,0.2577041945,0.9368656,0.7673864364624023,0.6791614332656555,0.5096822419624023
132,4.06,4.6864343,3.7721614837646484,0.6264342689514164,0.28783851623535117
138,5.66,4.195782,5.04398250579834,1.46421781539917,0.6160174942016603
144,3.75,2.8014936,2.5248520374298096,0.9485063552856445,1.2251479625701904
145,2.66,3.2786942,3.551985740661621,0.6186941528320311,0.891985740661621
154,3.61,3.9089885,2.852869749069214,0.29898847579956067,0.757130250930786
155,4.01,4.2558494,4.185576438903809,0.24584936141967795,0.1755764389038088
164,3.36,3.0387821,2.7990875244140625,0.3212178802490233,0.5609124755859374
165,2.6,4.2283387,4.143707275390625,1.6283387184143066,1.543707275390625
172,3.85,3.649714,2.6944479942321777,0.20028600692749032,1.1555520057678224
173,2.82,3.730454,3.5733120441436768,0.9104539680480959,0.7533120441436769
180,3.65,3.4580207,2.9414169788360596,0.19197931289672843,0.7085830211639403
181,2.8,3.545914,3.688107967376709,0.7459139347076418,0.8881079673767092
185,0.3444631854,1.8439608,1.2791682481765747,1.4994975766239258,0.9347050627765747
188,2.91,3.468731,2.5924742221832275,0.5587309265136717,0.3175257778167726
189,2.69,3.5555615,3.4748353958129883,0.8655615425109864,0.7848353958129883
195,0.2320606053,1.6161588,1.1736929416656494,1.3840982377404663,0.9416323363656494
197,2.3,3.5000074,2.7262935638427734,1.2000073909759523,0.4262935638427736
198,1.8,2.9975336,2.8820266723632812,1.1975335597991943,1.0820266723632812
204,0.2257583276,1.8476889,1.24679434299469,1.621930585745337,1.02103601539469
206,4.31,4.2706466,3.5084228515625,0.0393534278869625,0.8015771484374996
207,3.0,4.1598334,4.277894020080566,1.1598334312438965,1.2778940200805664
213,0.2831097772,1.752183,1.0606154203414917,1.469073183310254,0.7775056431414917
215,3.05,4.2841024,3.173982620239258,1.2341024398803713,0.12398262023925799
216,4.51,4.04005,4.285987377166748,0.4699499702453611,0.22401262283325174
222,0.1919811103,2.0116916,1.0461878776550293,1.8197104599819824,0.8542067673550293
224,4.15,4.8383594,3.52178692817688,0.6883593559265133,0.6282130718231205
225,3.24,4.8679767,4.4294843673706055,1.627976665496826,1.1894843673706053
231,0.466908246,1.7114981,1.2544279098510742,1.2445898952887573,0.7875196638510742
233,4.42,4.4688525,3.1929078102111816,0.04885251998901374,1.2270921897888183
234,2.68,4.0545883,3.8214755058288574,1.3745883178710936,1.1414755058288573
240,0.2399121027,1.8826165,1.2577935457229614,1.6427044172279786,1.0178814430229615
242,4.79,3.2139134,3.2841830253601074,1.5760865592956543,1.5058169746398926
243,3.44,4.669917,4.303012847900391,1.229917106628418,0.8630128479003907
247,0.6828092612,0.8556082,1.1150044202804565,0.17279896366877445,0.4321951590804566
248,0.9229258009,0.8904277,1.100114345550537,0.032498092274206525,0.17718854465053713
253,0.7800811794,1.4908409,1.5864490270614624,0.7107597324652344,0.8063678476614624
258,1.791321836,1.8319921,1.8090794086456299,0.04067031335302729,0.017757572645629827
263,2.213371128,1.6452404,1.6681528091430664,0.5681307019364623,0.5452183188569335
268,0.3412812487,0.7993859,1.0088647603988647,0.4581046565658081,0.6675835116988648
273,0.7330523431,1.5072621,1.7867374420166016,0.774209767610144,1.0536850989166016
